lon,lat,elev_m,bouguer_mGal,acc_raw,local_x_perp_m,local_y_along_m
131.855468,-25.862242,593.1,-131.275,2.00,15745.6,483896.9
131.784628,-25.790242,580.4,-132.665,2.00,23751.6,476817.3
131.918297,-25.801901,573.2,-125.443,2.00,22455.2,490175.9
131.945465,-25.696070,551.2,-138.482,2.00,34223.1,492891.0
131.671298,-25.704403,556.9,-141.555,2.00,33296.5,465491.3
131.881295,-25.616070,532.5,-134.006,2.00,43118.7,486478.0
131.954628,-25.956901,595.5,-127.278,2.00,5220.0,493806.8
131.871299,-25.948572,605.2,-127.894,2.00,6146.1,485479.0
131.797969,-25.959402,628.0,-129.945,2.00,4941.9,478150.6
131.714970,-25.950243,644.5,-131.081,2.00,5960.3,469855.8
131.670970,-25.907743,623.7,-134.499,2.00,10686.1,465458.5
131.661299,-25.838573,599.0,-135.466,2.00,18377.5,464492.0
131.684628,-25.773573,574.0,-136.940,2.00,25605.1,466823.5
131.726297,-25.726072,562.0,-135.038,2.00,30887.0,470987.8
131.767967,-25.675242,546.5,-140.964,2.00,36539.0,475152.2
131.791796,-25.621901,534.4,-136.284,2.00,42470.3,477533.7
131.804625,-25.561071,524.9,-119.044,2.00,49234.3,478815.8
126.584662,-25.608618,469.9,-32.449,0.10,43947.3,-42857.2
126.618002,-25.646948,486.1,-27.202,0.10,39685.2,-39525.3
126.664663,-25.706948,525.5,-6.518,0.10,33013.5,-34862.1
126.669663,-25.771948,547.4,-11.725,0.10,25785.8,-34362.4
126.686334,-25.850288,549.2,-20.358,0.10,17074.8,-32696.3
126.613005,-25.871949,529.2,-24.747,0.10,14666.2,-40024.7
126.526335,-25.886950,491.0,-32.829,0.10,12998.2,-48686.3
126.541337,-25.990290,487.5,-44.008,0.10,1507.3,-47187.1
126.551337,-26.075291,485.6,-38.937,0.10,-7944.4,-46187.7
128.609649,-25.588599,600.2,-81.545,0.10,46173.3,159516.0
128.556321,-25.725271,586.6,-59.176,0.10,30976.1,154186.5
128.572991,-25.756931,605.0,-57.781,0.10,27455.6,155852.5
128.610151,-25.811931,578.1,-55.108,0.10,21339.9,159566.2
128.657992,-25.861930,590.6,-60.845,0.10,15780.3,164347.4
128.689652,-25.925270,608.6,-51.921,0.10,8737.2,167511.4
128.607993,-25.945271,614.1,-47.758,0.10,6513.2,159350.5
128.532994,-25.965272,586.0,-42.415,0.10,4289.2,151855.3
128.471324,-25.998603,586.2,-32.887,0.10,582.9,145692.1
128.317995,-26.005274,567.9,-6.518,0.10,-158.8,130368.7
128.224656,-25.991935,533.0,-24.301,0.10,1324.4,121040.6
