# VFSA 2D iteration best - 2026-09-15 00:58:55
# chains=2  n_ctrl=250  frac_update_controls=1.0  temp_kappa=1.0  cool_ratio=0.001  target_rms=1.0  n_trials=1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Chain     Iter         Temp       Chi2Curr        dChi2      RMSCurr     CurrRMS     Chi2Best     RMSBest   Nacc Model
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     1        1            1     17411.3631    -540.9892      4.55278     4.55278   17411.3631     4.55278      1 chain_01/itr_00001_trial_01.rho
     1        2       0.9977     15697.7372   -1713.6259      4.32294     4.32294   15697.7372     4.32294      1 chain_01/itr_00002_trial_01.rho
     1        3       0.9954     16341.6139     643.8768      4.41070     4.41070   15697.7372     4.32294      1 chain_01/itr_00003_trial_01.rho
     1        4       0.9931     16387.3761      45.7621      4.41687     4.41687   15697.7372     4.32294      1 chain_01/itr_00004_trial_01.rho
     1        5       0.9908     17063.9470     676.5710      4.50713     4.50713   15697.7372     4.32294      1 chain_01/itr_00005_trial_01.rho
     1        6       0.9885     17222.2506     158.3036      4.52799     4.52799   15697.7372     4.32294      1 chain_01/itr_00006_trial_01.rho
     1        7       0.9863     16823.7619    -398.4887      4.47530     4.47530   15697.7372     4.32294      1 chain_01/itr_00007_trial_01.rho
     1        8        0.984     16156.2814    -667.4806      4.38562     4.38562   15697.7372     4.32294      1 chain_01/itr_00008_trial_01.rho
     1        9       0.9817     16833.1229     676.8415      4.47654     4.47654   15697.7372     4.32294      1 chain_01/itr_00009_trial_01.rho
     1       10       0.9795     17290.3233     457.2004      4.53693     4.53693   15697.7372     4.32294      1 chain_01/itr_00010_trial_01.rho
     1       11       0.9772     16674.1582    -616.1651      4.45536     4.45536   15697.7372     4.32294      1 chain_01/itr_00011_trial_01.rho
     1       12        0.975     16872.8465     198.6884      4.48182     4.48182   15697.7372     4.32294      1 chain_01/itr_00012_trial_01.rho
     1       13       0.9727     15686.9422   -1185.9043      4.32145     4.32145   15686.9422     4.32145      1 chain_01/itr_00013_trial_01.rho
     1       14       0.9705     15601.4496     -85.4926      4.30966     4.30966   15601.4496     4.30966      1 chain_01/itr_00014_trial_01.rho
     1       15       0.9683     17483.2653    1881.8156      4.56217     4.56217   15601.4496     4.30966      1 chain_01/itr_00015_trial_01.rho
     1       16        0.966     17574.0315      90.7662      4.57400     4.57400   15601.4496     4.30966      1 chain_01/itr_00016_trial_01.rho
     1       17       0.9638     18230.1332     656.1017      4.65860     4.65860   15601.4496     4.30966      1 chain_01/itr_00017_trial_01.rho
     1       18       0.9616     17332.0115    -898.1217      4.54239     4.54239   15601.4496     4.30966      1 chain_01/itr_00018_trial_01.rho
     1       19       0.9594     17667.7667     335.7552      4.58618     4.58618   15601.4496     4.30966      1 chain_01/itr_00019_trial_01.rho
     1       20       0.9572     18077.2504     409.4837      4.63902     4.63902   15601.4496     4.30966      1 chain_01/itr_00020_trial_01.rho
     1       21        0.955     17440.1982    -637.0522      4.55655     4.55655   15601.4496     4.30966      1 chain_01/itr_00021_trial_01.rho
     1       22       0.9528     17411.5099     -28.6883      4.55280     4.55280   15601.4496     4.30966      1 chain_01/itr_00022_trial_01.rho
     1       23       0.9506     19057.4433    1645.9334      4.76313     4.76313   15601.4496     4.30966      1 chain_01/itr_00023_trial_01.rho
     1       24       0.9484     19627.5545     570.1112      4.83385     4.83385   15601.4496     4.30966      1 chain_01/itr_00024_trial_01.rho
     1       25       0.9462     18802.8340    -824.7205      4.73121     4.73121   15601.4496     4.30966      1 chain_01/itr_00025_trial_01.rho
     1       26        0.944     19648.9533     846.1193      4.83649     4.83649   15601.4496     4.30966      1 chain_01/itr_00026_trial_01.rho
     1       27       0.9419     18923.9775    -724.9758      4.74642     4.74642   15601.4496     4.30966      1 chain_01/itr_00027_trial_01.rho
     1       28       0.9397     18687.2791    -236.6985      4.71665     4.71665   15601.4496     4.30966      1 chain_01/itr_00028_trial_01.rho
     1       29       0.9375     18995.9928     308.7138      4.75545     4.75545   15601.4496     4.30966      1 chain_01/itr_00029_trial_01.rho
     1       30       0.9354     20464.3252    1468.3324      4.93582     4.93582   15601.4496     4.30966      1 chain_01/itr_00030_trial_01.rho
     1       31       0.9332     21980.3023    1515.9770      5.11537     5.11537   15601.4496     4.30966      1 chain_01/itr_00031_trial_01.rho
     1       32       0.9311     20989.5745    -990.7277      4.99876     4.99876   15601.4496     4.30966      1 chain_01/itr_00032_trial_01.rho
     1       33       0.9289     20785.2739    -204.3006      4.97437     4.97437   15601.4496     4.30966      1 chain_01/itr_00033_trial_01.rho
     1       34       0.9268     21458.7111     673.4372      5.05431     5.05431   15601.4496     4.30966      1 chain_01/itr_00034_trial_01.rho
     1       35       0.9247     21021.2855    -437.4257      5.00253     5.00253   15601.4496     4.30966      1 chain_01/itr_00035_trial_01.rho
     1       36       0.9225     22262.4120    1241.1266      5.14809     5.14809   15601.4496     4.30966      1 chain_01/itr_00036_trial_01.rho
     1       37       0.9204     23705.2901    1442.8780      5.31230     5.31230   15601.4496     4.30966      1 chain_01/itr_00037_trial_01.rho
     1       38       0.9183     23407.6513    -297.6387      5.27885     5.27885   15601.4496     4.30966      1 chain_01/itr_00038_trial_01.rho
     1       39       0.9162     23883.6713     476.0199      5.33225     5.33225   15601.4496     4.30966      1 chain_01/itr_00039_trial_01.rho
