# VFSA 2D iteration best - 2026-09-15 00:25:55
# chains=2  n_ctrl=250  frac_update_controls=1.0  temp_kappa=1.0  cool_ratio=0.001  target_rms=1.0  n_trials=1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Chain     Iter         Temp       Chi2Curr        dChi2      RMSCurr     CurrRMS     Chi2Best     RMSBest   Nacc Model
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     1        1            1    772526.1736    2464.1950     30.32613    30.32613  770061.9786    30.27772      1 chain_01/itr_00001_trial_01.rho
     1        2       0.9914    826925.4735   54399.2999     31.37571    31.37571  770061.9786    30.27772      1 chain_01/itr_00002_trial_01.rho
     1        3       0.9829   1124119.8382  297194.3647     36.58193    36.58193  770061.9786    30.27772      1 chain_01/itr_00003_trial_01.rho
     1        4       0.9744   1151640.3414   27520.5032     37.02702    37.02702  770061.9786    30.27772      1 chain_01/itr_00004_trial_01.rho
     1        5        0.966    930459.5152 -221180.8263     33.28198    33.28198  770061.9786    30.27772      1 chain_01/itr_00005_trial_01.rho
     1        6       0.9577   1021934.4327   91474.9175     34.87963    34.87963  770061.9786    30.27772      1 chain_01/itr_00006_trial_01.rho
     1        7       0.9494    962531.0992  -59403.3335     33.85071    33.85071  770061.9786    30.27772      1 chain_01/itr_00007_trial_01.rho
     1        8       0.9413    899141.8759  -63389.2233     32.71707    32.71707  770061.9786    30.27772      1 chain_01/itr_00008_trial_01.rho
     1        9       0.9332    781196.4932 -117945.3827     30.49583    30.49583  770061.9786    30.27772      1 chain_01/itr_00009_trial_01.rho
     1       10       0.9251    817319.4628   36122.9696     31.19294    31.19294  770061.9786    30.27772      1 chain_01/itr_00010_trial_01.rho
     1       11       0.9172    838187.6553   20868.1926     31.58864    31.58864  770061.9786    30.27772      1 chain_01/itr_00011_trial_01.rho
     1       12       0.9093    724759.5198 -113428.1355     29.37361    29.37361  724759.5198    29.37361      1 chain_01/itr_00012_trial_01.rho
     1       13       0.9015    716547.7123   -8211.8075     29.20673    29.20673  716547.7123    29.20673      1 chain_01/itr_00013_trial_01.rho
     1       14       0.8937    788732.7158   72185.0035     30.64258    30.64258  716547.7123    29.20673      1 chain_01/itr_00014_trial_01.rho
     1       15        0.886    546149.7558 -242582.9600     25.49859    25.49859  546149.7558    25.49859      1 chain_01/itr_00015_trial_01.rho
     1       16       0.8784    617172.2634   71022.5076     27.10588    27.10588  546149.7558    25.49859      1 chain_01/itr_00016_trial_01.rho
     1       17       0.8708    558445.9529  -58726.3104     25.78404    25.78404  546149.7558    25.49859      1 chain_01/itr_00017_trial_01.rho
     1       18       0.8633    541247.8164  -17198.1365     25.38391    25.38391  541247.8164    25.38391      1 chain_01/itr_00018_trial_01.rho
     1       19       0.8559    556909.2759   15661.4595     25.74854    25.74854  541247.8164    25.38391      1 chain_01/itr_00019_trial_01.rho
     1       20       0.8485    429091.5468 -127817.7291     22.60140    22.60140  429091.5468    22.60140      1 chain_01/itr_00020_trial_01.rho
     1       21       0.8412    421400.3132   -7691.2336     22.39792    22.39792  421400.3132    22.39792      1 chain_01/itr_00021_trial_01.rho
     1       22        0.834    441640.0215   20239.7083     22.92950    22.92950  421400.3132    22.39792      1 chain_01/itr_00022_trial_01.rho
     1       23       0.8268    379650.6684  -61989.3531     21.25947    21.25947  379650.6684    21.25947      1 chain_01/itr_00023_trial_01.rho
     1       24       0.8197    350500.5100  -29150.1584     20.42700    20.42700  350500.5100    20.42700      1 chain_01/itr_00024_trial_01.rho
     1       25       0.8126    358007.0681    7506.5581     20.64459    20.64459  350500.5100    20.42700      1 chain_01/itr_00025_trial_01.rho
     1       26       0.8056    310062.5202  -47944.5479     19.21255    19.21255  310062.5202    19.21255      1 chain_01/itr_00026_trial_01.rho
     1       27       0.7987    327531.5978   17469.0775     19.74636    19.74636  310062.5202    19.21255      1 chain_01/itr_00027_trial_01.rho
     1       28       0.7918    345490.7709   17959.1731     20.28050    20.28050  310062.5202    19.21255      1 chain_01/itr_00028_trial_01.rho
     1       29        0.785    328798.6580  -16692.1128     19.78451    19.78451  310062.5202    19.21255      1 chain_01/itr_00029_trial_01.rho
     1       30       0.7782    300106.8478  -28691.8103     18.90159    18.90159  300106.8478    18.90159      1 chain_01/itr_00030_trial_01.rho
     1       31       0.7715    290552.0840   -9554.7638     18.59826    18.59826  290552.0840    18.59826      1 chain_01/itr_00031_trial_01.rho
     1       32       0.7649    292887.5206    2335.4366     18.67286    18.67286  290552.0840    18.59826      1 chain_01/itr_00032_trial_01.rho
     1       33       0.7583    269476.5996  -23410.9210     17.91104    17.91104  269476.5996    17.91104      1 chain_01/itr_00033_trial_01.rho
     1       34       0.7518    245658.5021  -23818.0975     17.10119    17.10119  245658.5021    17.10119      1 chain_01/itr_00034_trial_01.rho
     1       35       0.7453    243299.1105   -2359.3916     17.01887    17.01887  243299.1105    17.01887      1 chain_01/itr_00035_trial_01.rho
     1       36       0.7389    200670.5376  -42628.5729     15.45618    15.45618  200670.5376    15.45618      1 chain_01/itr_00036_trial_01.rho
     1       37       0.7325    181262.1045  -19408.4331     14.68973    14.68973  181262.1045    14.68973      1 chain_01/itr_00037_trial_01.rho
