# VFSA 2D iteration best - 2026-09-14 17:40:40
# chains=2  n_ctrl=250  frac_update_controls=1.0  temp_kappa=1.0  cool_ratio=0.001  target_rms=1.0  n_trials=1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Chain     Iter         Temp       Chi2Curr        dChi2      RMSCurr     CurrRMS     Chi2Best     RMSBest   Nacc Model
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     1        1            1    858548.5530   90426.4533     31.97001    31.97001  768122.0996    30.23956      1 chain_01/itr_00001_trial_01.rho
     1        2       0.9828   1025794.7631  167246.2102     34.94545    34.94545  768122.0996    30.23956      1 chain_01/itr_00002_trial_01.rho
     1        3        0.966   1121739.4968   95944.7337     36.54318    36.54318  768122.0996    30.23956      1 chain_01/itr_00003_trial_01.rho
     1        4       0.9494    995137.4764 -126602.0205     34.41929    34.41929  768122.0996    30.23956      1 chain_01/itr_00004_trial_01.rho
     1        5       0.9331    937052.7120  -58084.7644     33.39968    33.39968  768122.0996    30.23956      1 chain_01/itr_00005_trial_01.rho
     1        6       0.9171    921431.2365  -15621.4754     33.12011    33.12011  768122.0996    30.23956      1 chain_01/itr_00006_trial_01.rho
     1        7       0.9013   1001558.5495   80127.3130     34.53016    34.53016  768122.0996    30.23956      1 chain_01/itr_00007_trial_01.rho
     1        8       0.8859   1130309.8108  128751.2613     36.68252    36.68252  768122.0996    30.23956      1 chain_01/itr_00008_trial_01.rho
     1        9       0.8707   1204435.9217   74126.1109     37.86624    37.86624  768122.0996    30.23956      1 chain_01/itr_00009_trial_01.rho
     1       10       0.8557   1303838.5222   99402.6005     39.39783    39.39783  768122.0996    30.23956      1 chain_01/itr_00010_trial_01.rho
     1       11        0.841   1216505.0130  -87333.5092     38.05549    38.05549  768122.0996    30.23956      1 chain_01/itr_00011_trial_01.rho
     1       12       0.8266   1269070.9205   52565.9075     38.86899    38.86899  768122.0996    30.23956      1 chain_01/itr_00012_trial_01.rho
     1       13       0.8124   1253759.4713  -15311.4492     38.63380    38.63380  768122.0996    30.23956      1 chain_01/itr_00013_trial_01.rho
     1       14       0.7985   1083796.0999 -169963.3713     35.91982    35.91982  768122.0996    30.23956      1 chain_01/itr_00014_trial_01.rho
     1       15       0.7848    961397.8181 -122398.2819     33.83077    33.83077  768122.0996    30.23956      1 chain_01/itr_00015_trial_01.rho
     1       16       0.7713    769314.1536 -192083.6644     30.26302    30.26302  768122.0996    30.23956      1 chain_01/itr_00016_trial_01.rho
     1       17       0.7581    776270.5380    6956.3844     30.39953    30.39953  768122.0996    30.23956      1 chain_01/itr_00017_trial_01.rho
     1       18        0.745    690527.6973  -85742.8407     28.67153    28.67153  690527.6973    28.67153      1 chain_01/itr_00018_trial_01.rho
     1       19       0.7323    559941.3145 -130586.3828     25.81854    25.81854  559941.3145    25.81854      1 chain_01/itr_00019_trial_01.rho
     1       20       0.7197    548667.7210  -11273.5935     25.55731    25.55731  548667.7210    25.55731      1 chain_01/itr_00020_trial_01.rho
     1       21       0.7073    513180.0638  -35487.6573     24.71697    24.71697  513180.0638    24.71697      1 chain_01/itr_00021_trial_01.rho
     1       22       0.6952    451367.0103  -61813.0535     23.18063    23.18063  451367.0103    23.18063      1 chain_01/itr_00022_trial_01.rho
     1       23       0.6833    452196.5736     829.5633     23.20192    23.20192  451367.0103    23.18063      1 chain_01/itr_00023_trial_01.rho
     1       24       0.6715    404520.1272  -47676.4464     21.94474    21.94474  404520.1272    21.94474      1 chain_01/itr_00024_trial_01.rho
     1       25         0.66    385823.5486  -18696.5786     21.43161    21.43161  385823.5486    21.43161      1 chain_01/itr_00025_trial_01.rho
     1       26       0.6487    367782.2044  -18041.3441     20.92453    20.92453  367782.2044    20.92453      1 chain_01/itr_00026_trial_01.rho
     1       27       0.6375    371644.2297    3862.0252     21.03411    21.03411  367782.2044    20.92453      1 chain_01/itr_00027_trial_01.rho
     1       28       0.6266    366901.4784   -4742.7513     20.89946    20.89946  366901.4784    20.89946      1 chain_01/itr_00028_trial_01.rho
     1       29       0.6158    328848.4584  -38053.0200     19.78601    19.78601  328848.4584    19.78601      1 chain_01/itr_00029_trial_01.rho
     1       30       0.6053    336067.2981    7218.8397     20.00200    20.00200  328848.4584    19.78601      1 chain_01/itr_00030_trial_01.rho
