# VFSA 2D iteration best - 2026-09-14 17:44:19
# chains=2  n_ctrl=250  frac_update_controls=1.0  temp_kappa=1.0  cool_ratio=0.001  target_rms=1.0  n_trials=1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Chain     Iter         Temp       Chi2Curr        dChi2      RMSCurr     CurrRMS     Chi2Best     RMSBest   Nacc Model
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     1        1            1     16906.6768    -606.1243      4.48631     4.48631   16906.6768     4.48631      1 chain_01/itr_00001_trial_01.rho
     1        2       0.9828     18924.9741    2018.2973      4.74655     4.74655   16906.6768     4.48631      1 chain_01/itr_00002_trial_01.rho
     1        3        0.966     19354.0011     429.0270      4.80005     4.80005   16906.6768     4.48631      1 chain_01/itr_00003_trial_01.rho
     1        4       0.9494     19932.3122     578.3112      4.87124     4.87124   16906.6768     4.48631      1 chain_01/itr_00004_trial_01.rho
     1        5       0.9331     19372.0570    -560.2552      4.80229     4.80229   16906.6768     4.48631      1 chain_01/itr_00005_trial_01.rho
     1        6       0.9171     18570.9760    -801.0810      4.70195     4.70195   16906.6768     4.48631      1 chain_01/itr_00006_trial_01.rho
     1        7       0.9013     18974.1530     403.1770      4.75271     4.75271   16906.6768     4.48631      1 chain_01/itr_00007_trial_01.rho
     1        8       0.8859     18581.7586    -392.3944      4.70331     4.70331   16906.6768     4.48631      1 chain_01/itr_00008_trial_01.rho
     1        9       0.8707     20569.5658    1987.8072      4.94849     4.94849   16906.6768     4.48631      1 chain_01/itr_00009_trial_01.rho
     1       10       0.8557     22894.5255    2324.9597      5.22067     5.22067   16906.6768     4.48631      1 chain_01/itr_00010_trial_01.rho
     1       11        0.841     22396.3715    -498.1540      5.16356     5.16356   16906.6768     4.48631      1 chain_01/itr_00011_trial_01.rho
     1       12       0.8266     23177.8619     781.4904      5.25287     5.25287   16906.6768     4.48631      1 chain_01/itr_00012_trial_01.rho
     1       13       0.8124     25135.2074    1957.3455      5.47018     5.47018   16906.6768     4.48631      1 chain_01/itr_00013_trial_01.rho
     1       14       0.7985     25573.1076     437.9002      5.51762     5.51762   16906.6768     4.48631      1 chain_01/itr_00014_trial_01.rho
     1       15       0.7848     23741.0175   -1832.0901      5.31631     5.31631   16906.6768     4.48631      1 chain_01/itr_00015_trial_01.rho
     1       16       0.7713     22147.3522   -1593.6653      5.13477     5.13477   16906.6768     4.48631      1 chain_01/itr_00016_trial_01.rho
     1       17       0.7581     22333.1636     185.8115      5.15627     5.15627   16906.6768     4.48631      1 chain_01/itr_00017_trial_01.rho
     1       18        0.745     23155.2013     822.0377      5.25031     5.25031   16906.6768     4.48631      1 chain_01/itr_00018_trial_01.rho
     1       19       0.7323     24256.6648    1101.4635      5.37373     5.37373   16906.6768     4.48631      1 chain_01/itr_00019_trial_01.rho
     1       20       0.7197     24441.7499     185.0851      5.39419     5.39419   16906.6768     4.48631      1 chain_01/itr_00020_trial_01.rho
     1       21       0.7073     24244.9475    -196.8024      5.37243     5.37243   16906.6768     4.48631      1 chain_01/itr_00021_trial_01.rho
     1       22       0.6952     23883.4255    -361.5220      5.33223     5.33223   16906.6768     4.48631      1 chain_01/itr_00022_trial_01.rho
     1       23       0.6833     27136.7231    3253.2976      5.68380     5.68380   16906.6768     4.48631      1 chain_01/itr_00023_trial_01.rho
     1       24       0.6715     29779.5875    2642.8644      5.95415     5.95415   16906.6768     4.48631      1 chain_01/itr_00024_trial_01.rho
