# VFSA 2D iteration best - 2026-09-14 16:42:49
# chains=2  n_ctrl=250  frac_update_controls=1.0  temp_kappa=1.0  cool_ratio=0.001  target_rms=0.1  n_trials=1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Chain     Iter         Temp       Chi2Curr        dChi2      RMSCurr     CurrRMS     Chi2Best     RMSBest   Nacc Model
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     2        1            1      2587.0655    -271.5319      2.49979     2.49979    2587.0655     2.49979      1 chain_02/itr_00001_trial_01.rho
     2        2       0.9828      2573.5142     -13.5514      2.49323     2.49323    2573.5142     2.49323      1 chain_02/itr_00002_trial_01.rho
     2        3        0.966      2222.8962    -350.6180      2.31718     2.31718    2222.8962     2.31718      1 chain_02/itr_00003_trial_01.rho
     2        4       0.9494      2222.8962       0.0000      2.31718     2.31718    2222.8962     2.31718      0 -
     2        5       0.9331      2375.2185     152.3223      2.39525     2.39525    2222.8962     2.31718      1 chain_02/itr_00005_trial_01.rho
     2        6       0.9171      1913.0828    -462.1357      2.14964     2.14964    1913.0828     2.14964      1 chain_02/itr_00006_trial_01.rho
     2        7       0.9013      1831.5514     -81.5314      2.10334     2.10334    1831.5514     2.10334      1 chain_02/itr_00007_trial_01.rho
     2        8       0.8859      1547.4818    -284.0696      1.93336     1.93336    1547.4818     1.93336      1 chain_02/itr_00008_trial_01.rho
     2        9       0.8707      1429.1883    -118.2935      1.85800     1.85800    1429.1883     1.85800      1 chain_02/itr_00009_trial_01.rho
     2       10       0.8557      1347.8933     -81.2950      1.80438     1.80438    1347.8933     1.80438      1 chain_02/itr_00010_trial_01.rho
     2       11        0.841      1350.7397       2.8464      1.80628     1.80628    1347.8933     1.80438      1 chain_02/itr_00011_trial_01.rho
     2       12       0.8266      1189.3431    -161.3966      1.69494     1.69494    1189.3431     1.69494      1 chain_02/itr_00012_trial_01.rho
     2       13       0.8124      1152.4634     -36.8798      1.66845     1.66845    1152.4634     1.66845      1 chain_02/itr_00013_trial_01.rho
     2       14       0.7985      1152.4634       0.0000      1.66845     1.66845    1152.4634     1.66845      0 -
     2       15       0.7848      1077.8656     -74.5977      1.61355     1.61355    1077.8656     1.61355      1 chain_02/itr_00015_trial_01.rho
     2       16       0.7713       955.4422    -122.4235      1.51915     1.51915     955.4422     1.51915      1 chain_02/itr_00016_trial_01.rho
     2       17       0.7581       877.7146     -77.7276      1.45605     1.45605     877.7146     1.45605      1 chain_02/itr_00017_trial_01.rho
     2       18        0.745       887.0851       9.3705      1.46380     1.46380     877.7146     1.45605      1 chain_02/itr_00018_trial_01.rho
     2       19       0.7323       822.4725     -64.6125      1.40949     1.40949     822.4725     1.40949      1 chain_02/itr_00019_trial_01.rho
     2       20       0.7197       798.3460     -24.1266      1.38866     1.38866     798.3460     1.38866      1 chain_02/itr_00020_trial_01.rho
     2       21       0.7073       764.6955     -33.6504      1.35908     1.35908     764.6955     1.35908      1 chain_02/itr_00021_trial_01.rho
     2       22       0.6952       703.2682     -61.4273      1.30335     1.30335     703.2682     1.30335      1 chain_02/itr_00022_trial_01.rho
     2       23       0.6833       676.4049     -26.8634      1.27821     1.27821     676.4049     1.27821      1 chain_02/itr_00023_trial_01.rho
     2       24       0.6715       662.4235     -13.9814      1.26493     1.26493     662.4235     1.26493      1 chain_02/itr_00024_trial_01.rho
     2       25         0.66       678.1588      15.7353      1.27987     1.27987     662.4235     1.26493      1 chain_02/itr_00025_trial_01.rho
     2       26       0.6487       675.8854      -2.2734      1.27772     1.27772     662.4235     1.26493      1 chain_02/itr_00026_trial_01.rho
     2       27       0.6375       726.2020      50.3166      1.32443     1.32443     662.4235     1.26493      1 chain_02/itr_00027_trial_01.rho
     2       28       0.6266       746.5906      20.3885      1.34289     1.34289     662.4235     1.26493      1 chain_02/itr_00028_trial_01.rho
     2       29       0.6158       704.3691     -42.2214      1.30437     1.30437     662.4235     1.26493      1 chain_02/itr_00029_trial_01.rho
     2       30       0.6053       670.9508     -33.4183      1.27305     1.27305     662.4235     1.26493      1 chain_02/itr_00030_trial_01.rho
     2       31       0.5949       694.3683      23.4175      1.29507     1.29507     662.4235     1.26493      1 chain_02/itr_00031_trial_01.rho
     2       32       0.5847       677.4441     -16.9242      1.27919     1.27919     662.4235     1.26493      1 chain_02/itr_00032_trial_01.rho
     2       33       0.5746       690.1072      12.6631      1.29109     1.29109     662.4235     1.26493      1 chain_02/itr_00033_trial_01.rho
     2       34       0.5648       659.4159     -30.6913      1.26206     1.26206     659.4159     1.26206      1 chain_02/itr_00034_trial_01.rho
     2       35       0.5551       615.2051     -44.2108      1.21902     1.21902     615.2051     1.21902      1 chain_02/itr_00035_trial_01.rho
     2       36       0.5456       601.2831     -13.9220      1.20515     1.20515     601.2831     1.20515      1 chain_02/itr_00036_trial_01.rho
     2       37       0.5362       592.2730      -9.0101      1.19608     1.19608     592.2730     1.19608      1 chain_02/itr_00037_trial_01.rho
     2       38        0.527       596.6178       4.3447      1.20046     1.20046     592.2730     1.19608      1 chain_02/itr_00038_trial_01.rho
     2       39       0.5179       593.4636      -3.1541      1.19728     1.19728     592.2730     1.19608      1 chain_02/itr_00039_trial_01.rho
     2       40       0.5091       570.6232     -22.8404      1.17402     1.17402     570.6232     1.17402      1 chain_02/itr_00040_trial_01.rho
     2       41       0.5003       603.6028      32.9796      1.20747     1.20747     570.6232     1.17402      1 chain_02/itr_00041_trial_01.rho
     2       42       0.4917       610.2893       6.6865      1.21414     1.21414     570.6232     1.17402      1 chain_02/itr_00042_trial_01.rho
     2       43       0.4833       607.4975      -2.7919      1.21136     1.21136     570.6232     1.17402      1 chain_02/itr_00043_trial_01.rho
     2       44        0.475       670.4291      62.9317      1.27255     1.27255     570.6232     1.17402      1 chain_02/itr_00044_trial_01.rho
     2       45       0.4668       624.0554     -46.3737      1.22775     1.22775     570.6232     1.17402      1 chain_02/itr_00045_trial_01.rho
     2       46       0.4588       611.6707     -12.3848      1.21551     1.21551     570.6232     1.17402      1 chain_02/itr_00046_trial_01.rho
     2       47        0.451       591.1174     -20.5532      1.19491     1.19491     570.6232     1.17402      1 chain_02/itr_00047_trial_01.rho
     2       48       0.4432       593.3568       2.2394      1.19718     1.19718     570.6232     1.17402      1 chain_02/itr_00048_trial_01.rho
     2       49       0.4356       611.9677      18.6109      1.21581     1.21581     570.6232     1.17402      1 chain_02/itr_00049_trial_01.rho
     2       50       0.4281       613.4190       1.4513      1.21725     1.21725     570.6232     1.17402      1 chain_02/itr_00050_trial_01.rho
     2       51       0.4208       617.2640       3.8450      1.22106     1.22106     570.6232     1.17402      1 chain_02/itr_00051_trial_01.rho
     2       52       0.4136       599.9910     -17.2730      1.20385     1.20385     570.6232     1.17402      1 chain_02/itr_00052_trial_01.rho
     2       53       0.4065       633.1314      33.1403      1.23665     1.23665     570.6232     1.17402      1 chain_02/itr_00053_trial_01.rho
     2       54       0.3995       621.8705     -11.2609      1.22560     1.22560     570.6232     1.17402      1 chain_02/itr_00054_trial_01.rho
     2       55       0.3926       626.9087       5.0382      1.23056     1.23056     570.6232     1.17402      1 chain_02/itr_00055_trial_01.rho
     2       56       0.3859       625.5741      -1.3345      1.22925     1.22925     570.6232     1.17402      1 chain_02/itr_00056_trial_01.rho
     2       57       0.3793       669.0568      43.4827      1.27125     1.27125     570.6232     1.17402      1 chain_02/itr_00057_trial_01.rho
     2       58       0.3728       667.4707      -1.5861      1.26974     1.26974     570.6232     1.17402      1 chain_02/itr_00058_trial_01.rho
     2       59       0.3664       663.8878      -3.5829      1.26633     1.26633     570.6232     1.17402      1 chain_02/itr_00059_trial_01.rho
     2       60       0.3601       665.2430       1.3552      1.26762     1.26762     570.6232     1.17402      1 chain_02/itr_00060_trial_01.rho
     2       61       0.3539       681.1527      15.9097      1.28269     1.28269     570.6232     1.17402      1 chain_02/itr_00061_trial_01.rho
     2       62       0.3478       684.1212       2.9684      1.28548     1.28548     570.6232     1.17402      1 chain_02/itr_00062_trial_01.rho
     2       63       0.3418       707.6164      23.4953      1.30737     1.30737     570.6232     1.17402      1 chain_02/itr_00063_trial_01.rho
     2       64        0.336       707.6164       0.0000      1.30737     1.30737     570.6232     1.17402      0 -
     2       65       0.3302       748.6600      41.0436      1.34475     1.34475     570.6232     1.17402      1 chain_02/itr_00065_trial_01.rho
     2       66       0.3245       732.1925     -16.4675      1.32988     1.32988     570.6232     1.17402      1 chain_02/itr_00066_trial_01.rho
     2       67        0.319       759.7296      27.5371      1.35466     1.35466     570.6232     1.17402      1 chain_02/itr_00067_trial_01.rho
     2       68       0.3135       720.9573     -38.7723      1.31964     1.31964     570.6232     1.17402      1 chain_02/itr_00068_trial_01.rho
     2       69       0.3081       719.7372      -1.2201      1.31852     1.31852     570.6232     1.17402      1 chain_02/itr_00069_trial_01.rho
     2       70       0.3028       739.2463      19.5091      1.33627     1.33627     570.6232     1.17402      1 chain_02/itr_00070_trial_01.rho
     2       71       0.2976       709.3728     -29.8734      1.30899     1.30899     570.6232     1.17402      1 chain_02/itr_00071_trial_01.rho
     2       72       0.2925       706.6263      -2.7465      1.30646     1.30646     570.6232     1.17402      1 chain_02/itr_00072_trial_01.rho
     2       73       0.2875       702.9688      -3.6575      1.30307     1.30307     570.6232     1.17402      1 chain_02/itr_00073_trial_01.rho
     2       74       0.2826       699.0526      -3.9162      1.29944     1.29944     570.6232     1.17402      1 chain_02/itr_00074_trial_01.rho
     2       75       0.2777       737.3270      38.2744      1.33453     1.33453     570.6232     1.17402      1 chain_02/itr_00075_trial_01.rho
     2       76        0.273       722.4863     -14.8407      1.32104     1.32104     570.6232     1.17402      1 chain_02/itr_00076_trial_01.rho
