# VFSA 2D iteration best - 2026-09-14 17:22:06
# chains=2  n_ctrl=250  frac_update_controls=1.0  temp_kappa=1.0  cool_ratio=0.001  target_rms=0.1  n_trials=1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Chain     Iter         Temp       Chi2Curr        dChi2      RMSCurr     CurrRMS     Chi2Best     RMSBest   Nacc Model
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     2        1            1       474.2715     -33.4382      1.07032     1.07032     474.2715     1.07032      1 chain_02/itr_00001_trial_01.rho
     2        2       0.9828       474.2715       0.0000      1.07032     1.07032     474.2715     1.07032      0 -
     2        3        0.966       397.4590     -76.8125      0.97982     0.97982     397.4590     0.97982      1 chain_02/itr_00003_trial_01.rho
     2        4       0.9494       397.4590       0.0000      0.97982     0.97982     397.4590     0.97982      0 -
     2        5       0.9331       397.6900       0.2311      0.98010     0.98010     397.4590     0.97982      1 chain_02/itr_00005_trial_01.rho
     2        6       0.9171       362.3304     -35.3596      0.93552     0.93552     362.3304     0.93552      1 chain_02/itr_00006_trial_01.rho
     2        7       0.9013       361.6648      -0.6656      0.93466     0.93466     361.6648     0.93466      1 chain_02/itr_00007_trial_01.rho
     2        8       0.8859       351.9071      -9.7577      0.92196     0.92196     351.9071     0.92196      1 chain_02/itr_00008_trial_01.rho
     2        9       0.8707       352.8071       0.9000      0.92314     0.92314     351.9071     0.92196      1 chain_02/itr_00009_trial_01.rho
     2       10       0.8557       350.7267      -2.0804      0.92042     0.92042     350.7267     0.92042      1 chain_02/itr_00010_trial_01.rho
     2       11        0.841       359.0909       8.3642      0.93133     0.93133     350.7267     0.92042      1 chain_02/itr_00011_trial_01.rho
     2       12       0.8266       360.6306       1.5396      0.93332     0.93332     350.7267     0.92042      1 chain_02/itr_00012_trial_01.rho
     2       13       0.8124       364.9653       4.3347      0.93891     0.93891     350.7267     0.92042      1 chain_02/itr_00013_trial_01.rho
