iter	half_c1	half_c2	half_best	prior_c1	prior_c2	prior_best
1	2.373192	2.499790	2.373192	1.035919	1.070319	1.035919
2	2.289698	2.493234	2.289698	1.012977	1.070319	1.012977
3	2.165794	2.317178	2.165794	1.012977	0.979819	0.979819
4	2.130778	2.317178	2.130778	1.004091	0.979819	0.979819
5	2.056075	2.317178	2.056075	0.961074	0.979819	0.961074
6	2.021809	2.149645	2.021809	0.961074	0.935518	0.935518
7	2.021809	2.103340	2.021809	0.961074	0.934658	0.934658
8	1.909120	1.933359	1.909120	0.959978	0.921964	0.921964
9	1.881540	1.857995	1.857995	0.959978	0.921964	0.921964
10	1.824476	1.804378	1.804378	0.959978	0.920416	0.920416
11	1.824476	1.804378	1.804378	0.959978	0.920416	0.920416
12	1.810903	1.694936	1.694936	0.959978	0.920416	0.920416
13	1.766091	1.668451	1.668451	0.959978	0.920416	0.920416
14	1.766091	1.668451	1.668451	0.959978	0.920416	0.920416
15	1.766091	1.613549	1.613549	0.959978	0.920416	0.920416
16	1.763044	1.519155	1.519155	0.959978	0.920416	0.920416
17	1.690809	1.456051	1.456051	0.959978	0.920416	0.920416
18	1.626153	1.456051	1.456051	0.959978	0.920416	0.920416
19	1.626153	1.409485	1.409485	0.959978	0.920416	0.920416
20	1.626153	1.388658	1.388658	0.959978	0.920416	0.920416
21	1.626153	1.359077	1.359077	0.959978	0.920416	0.920416
22	1.626153	1.303348	1.303348	0.959978	0.920416	0.920416
23	1.626153	1.278213	1.278213	0.959978	0.920416	0.920416
24	1.626153	1.264933	1.264933	0.959978	0.920416	0.920416
25	1.597143	1.264933	1.264933	0.959978	0.920416	0.920416
26	1.591087	1.264933	1.264933	0.959978	0.920416	0.920416
27	1.591087	1.264933	1.264933	0.959978	0.920416	0.920416
28	1.591087	1.264933	1.264933	0.959978	0.920416	0.920416
29	1.591087	1.264933	1.264933	0.959978	0.920416	0.920416
30	1.591087	1.264933	1.264933	0.959978	0.920416	0.920416
31	1.591087	1.264933	1.264933	0.959978	0.920416	0.920416
32	1.591087	1.264933	1.264933	0.959978	0.920416	0.920416
33	1.568671	1.264933	1.264933	0.959978	0.920416	0.920416
34	1.568671	1.262059	1.262059	0.959978	0.920416	0.920416
35	1.499036	1.219017	1.219017	0.959978	0.920416	0.920416
36	1.438496	1.205145	1.205145	0.959978	0.920416	0.920416
37	1.388111	1.196082	1.196082	0.959978	0.920416	0.920416
38	1.371881	1.196082	1.196082	0.959978	0.920416	0.920416
39	1.360494	1.196082	1.196082	0.959978	0.920416	0.920416
40	1.360494	1.174017	1.174017	0.959978	0.920416	0.920416
41	1.360494	1.174017	1.174017	0.959978	0.920416	0.920416
42	1.360494	1.174017	1.174017	0.959978	0.920416	0.920416
43	1.360494	1.174017	1.174017	0.959978	0.920416	0.920416
44	1.360494	1.174017	1.174017	0.959978	0.920416	0.920416
45	1.356203	1.174017	1.174017	0.959978	0.920416	0.920416
46	1.356203	1.174017	1.174017	0.959978	0.920416	0.920416
47	1.340721	1.174017	1.174017	0.959978	0.920416	0.920416
48	1.313384	1.174017	1.174017	0.959978	0.920416	0.920416
49	1.290109	1.174017	1.174017	0.959978	0.920416	0.920416
50	1.266343	1.174017	1.174017	0.959978	0.920416	0.920416
51	1.264861	1.174017	1.174017	0.959978	0.920416	0.920416
52	1.256781	1.174017	1.174017	0.959978	0.920416	0.920416
53	1.253320	1.174017	1.174017	0.959978	0.920416	0.920416
