# VFSA 2D iteration best - 2026-09-14 19:50:57
# chains=2  n_ctrl=250  frac_update_controls=1.0  temp_kappa=1.0  cool_ratio=0.001  target_rms=1.0  n_trials=1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Chain     Iter         Temp       Chi2Curr        dChi2      RMSCurr     CurrRMS     Chi2Best     RMSBest   Nacc Model
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     1        1            1     16971.8626    -564.5185      4.49495     4.49495   16971.8626     4.49495      1 chain_01/itr_00001_trial_01.rho
     1        2       0.9828     15600.1446   -1371.7179      4.30948     4.30948   15600.1446     4.30948      1 chain_01/itr_00002_trial_01.rho
     1        3        0.966     15856.7152     256.5706      4.34477     4.34477   15600.1446     4.30948      1 chain_01/itr_00003_trial_01.rho
     1        4       0.9494     16453.3350     596.6198      4.42575     4.42575   15600.1446     4.30948      1 chain_01/itr_00004_trial_01.rho
     1        5       0.9331     16755.5154     302.1804      4.46621     4.46621   15600.1446     4.30948      1 chain_01/itr_00005_trial_01.rho
     1        6       0.9171     16981.3143     225.7988      4.49620     4.49620   15600.1446     4.30948      1 chain_01/itr_00006_trial_01.rho
     1        7       0.9013     16439.3264    -541.9879      4.42387     4.42387   15600.1446     4.30948      1 chain_01/itr_00007_trial_01.rho
     1        8       0.8859     15495.4150    -943.9114      4.29499     4.29499   15495.4150     4.29499      1 chain_01/itr_00008_trial_01.rho
     1        9       0.8707     16351.6740     856.2590      4.41206     4.41206   15495.4150     4.29499      1 chain_01/itr_00009_trial_01.rho
     1       10       0.8557     16612.1706     260.4966      4.44707     4.44707   15495.4150     4.29499      1 chain_01/itr_00010_trial_01.rho
     1       11        0.841     15898.1505    -714.0202      4.35044     4.35044   15495.4150     4.29499      1 chain_01/itr_00011_trial_01.rho
     1       12       0.8266     15549.4706    -348.6798      4.30247     4.30247   15495.4150     4.29499      1 chain_01/itr_00012_trial_01.rho
     1       13       0.8124     14686.3109    -863.1598      4.18135     4.18135   14686.3109     4.18135      1 chain_01/itr_00013_trial_01.rho
     1       14       0.7985     14700.3614      14.0506      4.18335     4.18335   14686.3109     4.18135      1 chain_01/itr_00014_trial_01.rho
     1       15       0.7848     16290.2072    1589.8457      4.40376     4.40376   14686.3109     4.18135      1 chain_01/itr_00015_trial_01.rho
     1       16       0.7713     16411.7924     121.5852      4.42016     4.42016   14686.3109     4.18135      1 chain_01/itr_00016_trial_01.rho
     1       17       0.7581     17313.0930     901.3006      4.53991     4.53991   14686.3109     4.18135      1 chain_01/itr_00017_trial_01.rho
     1       18        0.745     16570.2228    -742.8701      4.44145     4.44145   14686.3109     4.18135      1 chain_01/itr_00018_trial_01.rho
     1       19       0.7323     17035.0716     464.8488      4.50332     4.50332   14686.3109     4.18135      1 chain_01/itr_00019_trial_01.rho
     1       20       0.7197     17473.8532     438.7816      4.56094     4.56094   14686.3109     4.18135      1 chain_01/itr_00020_trial_01.rho
     1       21       0.7073     16863.0751    -610.7781      4.48052     4.48052   14686.3109     4.18135      1 chain_01/itr_00021_trial_01.rho
     1       22       0.6952     16682.0840    -180.9912      4.45641     4.45641   14686.3109     4.18135      1 chain_01/itr_00022_trial_01.rho
